stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
4043,,"CROIX D'ANZIN",,  50.367370,   3.508482,,,0,place_CXA,0
4063,,"MOULIN DES LOUPS",,  50.437109,   3.432677,,,0,,0
4069,,"ANZIN HOTEL DE VILLE",,  50.368767,   3.502363,,,0,place_TYANH,1
4071,,"ST AMAND SNCF",,  50.443694,   3.419101,,,0,place_SAS,1
4083,,"BRUAY PLACE",,  50.397756,   3.535292,,,0,place_BRU,0
4123,,"BRUNEHAUT",,  50.414837,   3.558554,,,0,place_BHUNEH,1
4139,,"VIEUX CONDE PLACE",,  50.457917,   3.568425,,,0,,0
4155,,"CLG JOSQUIN DES PRES",,  50.458501,   3.587433,,,0,place_FQR,0
4188,,"QUAROUBLE 4 PAVES",,  50.391235,   3.620185,,,0,,0
4197,,"ATELIERS",,  50.407307,   3.664675,,,0,,0
4206,,"QUIEVRECH. CALVAIRE",,  50.392416,   3.663010,,,0,,0
4237,,"RUE D'HAVELUY",,  50.330352,   3.401247,,,0,,0
4238,,"TRARIEUX",,  50.327571,   3.402204,,,0,,0
4240,,"ESPACE VILLARS",,  50.326214,   3.392623,,,0,place_DLB,1
4241,,"ESPACE VILLARS",,  50.326399,   3.392775,,,0,place_DLB,1
4284,,"SOUS PREFECTURE",,  50.356034,   3.519555,,,0,place_TYSSPR,0
4294,,"PORTE DE PARIS",,  50.353219,   3.516725,,,0,place_TYFAPA,0
4300,,"ABSCON PLACE",,  50.334703,   3.302318,,,0,,0
4339,,"NUNGESSER",,  50.348186,   3.519028,,,0,place_TYPOMP,0
4359,,"SAULTAIN GARE",,  50.340015,   3.577679,,,0,,0
4404,,"BOUCHAIN GARE",,  50.278550,   3.331823,,,0,,1
4464,,"LA BRIQUETTE",,  50.339769,   3.520797,,,0,place_TYLABR,0
4515,,"JULES CHEVALIER",,  50.333929,   3.518412,,,0,place_TYNOA,0
4542,,"UNIVERSITE",,  50.320089,   3.512533,,,0,place_TYUNI,1
4565,,"BELLEVUE",,  50.336263,   3.402788,,,0,place_TBELVU,0
4566,,"TAFFIN",,  50.329585,   3.386324,,,0,place_TTAFIN,0
4582,,"LE GALIBOT",,  50.352991,   3.452632,,,0,place_THERIN,0
4594,,"CHAPELLE DU MARAIS",,  50.398122,   3.612239,,,0,,0
4621,,"SOLANGE TONINI",,  50.339888,   3.413068,,,0,place_TONINI,0
4640,,"ESPACE VILLARS",,  50.326260,   3.392936,,,0,place_DLB,1
4700,,"PLACE DU HAINAUT",,  50.360057,   3.522600,,,0,,0
4743,,"LE BLEU",,  50.330524,   3.448491,,,0,,0
4918,,"CONDE HOTEL DE VILLE",,  50.447707,   3.594674,,,0,place_COHOTE,0
4936,,"SAINT-WAAST HOPITAL",,  50.363631,   3.492204,,,0,place_TYSAWA,1
4940,,"ESPACE VILLARS",,  50.326437,   3.392539,,,0,place_DLB,1
5003,,"VALENCIENNES GARE - QUAI F",,  50.362910,   3.518804,,,0,place_GARE,1
5007,,"DAMPIERRE",,  50.356274,   3.505193,,,0,,0
5029,,"CANADA",,  50.352871,   3.521575,,,0,,0
5036,,"SAINT-WAAST HOPITAL",,  50.363801,   3.492360,,,0,place_TYSAWA,1
5041,,"RES. UNIVERSITAIRE",,  50.328976,   3.512816,,,0,place_AUL,0
5042,,"PONT JACOB",,  50.365917,   3.513823,,,0,place_TYLYES,0
5043,,"CROIX D'ANZIN",,  50.367361,   3.507983,,,0,place_CXA,0
5059,,"PRUSSIEN",,  50.411788,   3.454345,,,0,place_PXN,0
5069,,"ANZIN HOTEL DE VILLE",,  50.368767,   3.502363,,,0,place_TYANH,1
5071,,"ST AMAND SNCF",,  50.443695,   3.419101,,,0,place_SAS,1
5123,,"BRUNEHAUT",,  50.414836,   3.558669,,,0,place_BHUNEH,1
5137,,"LE BOULON",,  50.456516,   3.575788,,,0,place_BOLON,0
5195,,"BL MISSERON 4 PAVES",,  50.403391,   3.666363,,,0,,0
5238,,"TRARIEUX",,  50.328086,   3.402038,,,0,,0
5241,,"ESPACE VILLARS",,  50.326214,   3.392623,,,0,place_DLB,1
5294,,"PORTE DE PARIS",,  50.353577,   3.516887,,,0,place_TYFAPA,0
5339,,"NUNGESSER",,  50.348716,   3.519648,,,0,place_TYPOMP,0
5354,,"SAULTAIN BARRIERE",,  50.341928,   3.563340,,,0,,0
5359,,"SAULTAIN GARE",,  50.340450,   3.576850,,,0,,0
5404,,"BOUCHAIN GARE",,  50.278511,   3.331565,,,0,,1
5412,,"VOSGES",,  50.342204,   3.516684,,,0,place_TYVOSG,1
5464,,"LA BRIQUETTE",,  50.340061,   3.521054,,,0,place_TYLABR,0
5515,,"JULES CHEVALIER",,  50.334064,   3.518956,,,0,place_TYNOA,0
5542,,"UNIVERSITE",,  50.320089,   3.512533,,,0,place_TYUNI,1
5565,,"BELLEVUE",,  50.336154,   3.402283,,,0,place_TBELVU,0
5566,,"TAFFIN",,  50.329408,   3.385817,,,0,place_TTAFIN,0
5582,,"LE GALIBOT",,  50.352923,   3.452170,,,0,place_THERIN,1
5596,,"RUE DE FRESNES",,  50.414808,   3.597287,,,0,place_RDF,0
5621,,"SOLANGE TONINI",,  50.339754,   3.412681,,,0,place_TONINI,0
5634,,"LYCEE PAYS DE CONDE",,  50.460806,   3.582447,,,0,place_LYCO,1
5640,,"ESPACE VILLARS",,  50.326260,   3.392936,,,0,place_DLB,1
5685,,"ST AMAND HOPITAL",,  50.445675,   3.432629,,,0,,0
5718,,"PLACE DU PARQUIAU",,  50.364168,   3.647075,,,0,,0
5790,,"DUNANT",,  50.446174,   3.426932,,,0,,0
5791,,"MALECOT",,  50.447188,   3.436086,,,0,,0
5864,,"HERGNIES PTE PLACE",,  50.470511,   3.523668,,,0,,0
6003,,"VALENCIENNES GARE - QUAI C",,  50.363758,   3.517877,,,0,place_GARE,1
6029,,"CANADA",,  50.352728,   3.522355,,,0,,0
6040,,"CHEMIN VERT",,  50.330648,   3.514087,,,0,place_TYCHVE,0
6071,,"ST AMAND SNCF",,  50.443761,   3.418816,,,0,place_SAS,1
6122,,"THIERS",,  50.409223,   3.555478,,,0,place_THI,1
6140,,"VX CONDE CIMETIERE",,  50.459373,   3.563746,,,0,,0
6155,,"CLG JOSQUIN DES PRES",,  50.458148,   3.586855,,,0,place_FQR,0
6204,,"CRESPIN ANC. MAIRIE",,  50.421645,   3.661275,,,0,,0
6208,,"QUIEVRECHAIN MAIRIE",,  50.395465,   3.670863,,,0,,0
6240,,"ESPACE VILLARS",,  50.326214,   3.392623,,,0,place_DLB,1
6354,,"SAULTAIN BARRIERE",,  50.342016,   3.563536,,,0,,0
6359,,"SAULTAIN GARE",,  50.340567,   3.576664,,,0,,0
6494,,"COLLEGE JEAN MOULIN",,  50.374207,   3.399337,,,0,,0
6501,,"ARENBERG PLACE",,  50.380552,   3.430851,,,0,,0
6542,,"UNIVERSITE",,  50.320289,   3.512602,,,0,place_TYUNI,1
6576,,"CHENE A L' IMAGE",,  50.448777,   3.557561,,,0,,0
6582,,"LE GALIBOT",,  50.353023,   3.452113,,,0,place_THERIN,1
6634,,"LYCEE PAYS DE CONDE",,  50.460806,   3.582447,,,0,place_LYCO,1
6718,,"PLACE DU PARQUIAU",,  50.364166,   3.647272,,,0,,0
7003,,"VALENCIENNES GARE - QUAI B",,  50.364053,   3.518340,,,0,place_GARE,1
7036,,"SAINT-WAAST HOPITAL",,  50.363563,   3.491734,,,0,place_TYSAWA,1
7040,,"CHEMIN VERT",,  50.330560,   3.513649,,,0,place_TYCHVE,0
7155,,"CLG JOSQUIN DES PRES",,  50.458148,   3.586855,,,0,place_FQR,0
7204,,"CRESPIN ANC. MAIRIE",,  50.422224,   3.660933,,,0,,0
7208,,"QUIEVRECHAIN MAIRIE",,  50.395595,   3.670601,,,0,,0
7240,,"ESPACE VILLARS",,  50.326026,   3.392693,,,0,place_DLB,1
7241,,"ESPACE VILLARS",,  50.326260,   3.392936,,,0,place_DLB,1
7494,,"COLLEGE JEAN MOULIN",,  50.374207,   3.399338,,,0,,0
7501,,"ARENBERG PLACE",,  50.380900,   3.430998,,,0,,0
7542,,"UNIVERSITE",,  50.320289,   3.512602,,,0,place_TYUNI,1
7553,,"ST SAULVE LECUYER",,  50.387297,   3.551572,,,0,place_LEC,1
7576,,"CHENE A L' IMAGE",,  50.448685,   3.557076,,,0,,0
7582,,"LE GALIBOT",,  50.352974,   3.452071,,,0,place_THERIN,0
7640,,"ESPACE VILLARS",,  50.326086,   3.393003,,,0,place_DLB,1
7785,,"HERGNIES 4 SEPTEMBRE",,  50.477912,   3.516498,,,0,,0
7791,,"ETABLISSEMENT BARY",,  50.444932,   3.561685,,,0,,0
7823,,"CLG FELICIEN JOLY",,  50.337861,   3.357473,,,0,,0
7836,,"NOTRE DAME DES ANGES",,  50.450023,   3.423107,,,0,,0
7839,,"COLLEGE J. FROISSART",,  50.400513,   3.657734,,,0,,0
7846,,"COLLEGE JEAN JAURES",,  50.464585,   3.567986,,,0,,1
7852,,"COLLEGE NOTRE DAME",,  50.376452,   3.554308,,,0,,0
